Country Code,RMSE
ABW,7.329215267938935
AFG,1.1180860666194823
AGO,1.2755453942867472
ALB,1.683420321660683
ARE,0.33755894080444504
ARG,1.7759386881431196
ARM,3.8435063352341508
AUS,4.239034699321179
AUT,11.32772150054556
AZE,1.629594783867225
BDI,0.8308781247268128
BEL,0.3301057622498184
BEN,0.6407048960919498
BFA,1.890179220967814
BGD,3.212987408791128
BGR,0.6363150350332626
BHR,1.500556704499893
BHS,3.7796361840717965
BIH,4.503861105592855
BLR,0.8312099483425129
BLZ,10.126590999404343
BOL,0.15906390070601883
BRA,1.9423302468662502
BRB,16.696202684420022
BRN,1.1664575877993586
BTN,0.06354960042114399
BWA,2.913364743071209
CAF,1.8751003397988528
CAN,1.4648619342738434
CHE,2.3014578893964583
CHL,2.8944295624870313
CHN,4.869432774165345
CIV,4.44588024369763
CMR,7.280046746564664
COD,4.389605851538406
COG,0.7711372851624365
COL,2.5113245591891165
COM,3.4521454305954196
CPV,0.4891000926764819
CRI,9.786224074694724
CUB,1.345843479160553
CYP,5.5017383967053775
CZE,2.241119061672357
DEU,1.9711936114728714
DJI,1.0464779196810678
DNK,0.5308525492130786
DOM,7.17205741276011
DZA,2.237644182175517
ECU,5.547442996037233
EGY,4.561716384130838
ERI,14.22664133020213
ESP,0.6785153102815247
EST,2.773915529309763
ETH,0.7224129155810227
FIN,1.39936366557069
FJI,0.9636211853899637
FRA,6.724694264500143
FSM,3.077923164194205
GAB,0.8600617947185183
GBR,1.137358620364603
GEO,1.9134077413353554
GHA,0.6510690717585992
GIN,3.5016387263750546
GMB,2.5215868197944786
GNB,9.312808333283648
GNQ,27.14793132220405
GRC,13.880682757735709
GRD,6.522495328353576
GTM,2.7526867408146414
GUM,1.153355391229586
GUY,5.812858023108023
HKG,0.0
HND,0.4336228546618568
HRV,4.8028146618415395
HTI,4.1458939255114275
HUN,0.679181917331593
IDN,5.738708852887481
IND,0.7075275567187429
IRL,2.507779247652856
IRN,0.6853048331838067
IRQ,1.8211624095162697
ISL,2.086499840973877
ISR,0.24968393006475814
ITA,0.42785622979187365
JAM,1.7605715902121062
JOR,8.870039424522599
JPN,22.580378506704605
KAZ,5.131908874881237
KEN,1.0466372614646702
KGZ,2.389072217370596
KHM,0.11485677132372818
KOR,2.939538052376311
KWT,0.9705782727339785
LAO,3.9537353992258204
LBN,0.1428786056754123
LBR,1.6161897297655206
LBY,0.7136674404868667
LCA,12.97959548025118
LKA,2.574485697996473
LSO,3.6737966404315143
LTU,1.7997366285392198
LUX,3.4289083280360235
LVA,1.805250453959538
MAC,0.0
MAR,0.7306164936088416
MDA,7.9658063359384785
MDG,2.023091650662723
MDV,5.77165095915206
MEX,0.3318983260392304
MKD,5.2648469379989615
MLI,0.7996224890668665
MLT,1.67920402758875
MMR,7.0322886480780635
MNE,1.9356640059781542
MNG,3.8073395696388967
MOZ,7.454492458023606
MRT,6.537327759820077
MUS,4.869444225433141
MWI,5.486945138936271
MYS,1.0783258903569348
NAM,6.020514497249218
NCL,9.184405653905666
NER,3.0954989397013413
NGA,5.364195564369411
NIC,2.8372368285181717
NLD,5.737561534923426
NOR,0.29725241532634233
NPL,2.184447976401527
NZL,1.124563318644243
OMN,6.762042665995463
PAK,3.287872682734104
PAN,10.166667563485039
PER,1.3688807154830611
PHL,5.877377278939654
PNG,1.9894208002866043
POL,4.17349292524967
PRI,5.784632950320971
PRK,2.451914563488426
PRT,0.12180211627949505
PRY,3.6534805864584836
PSE,0.7821059830017605
PYF,6.877123561465556
QAT,2.699692261813752
ROU,6.880016620822831
RUS,1.5612515990383842
RWA,4.207239775304718
SAU,0.3772291157194655
SDN,9.307962001556108
SEN,0.9063284670713592
SGP,0.0
SLB,1.7701536121637127
SLE,0.9539758880607788
SLV,3.1453174798827828
SOM,2.534348689208109
SRB,3.876269561977516
STP,5.41102628914037
SUR,5.453697989468446
SVK,4.823534635646123
SVN,1.9470956565949686
SWE,0.6849291799721426
SWZ,1.4444218473734785
SYR,5.272899120333189
TCD,8.287374637505762
TGO,6.777248009145917
THA,10.764668036577676
TJK,2.9705792275221072
TKM,2.381306825667614
TLS,2.1059693349549558
TON,3.7321562064002554
TTO,37.69824055646261
TUN,0.971213192131499
TUR,2.6055325170457193
TZA,2.48024905880864
UGA,6.897922931288952
UKR,1.810704656767126
URY,2.0060046712148365
USA,2.0191542886600424
UZB,11.765387841245023
VCT,1.7984191972633856
VEN,6.35981419510833
VIR,1.182786581133811
VNM,0.5167915864658644
VUT,4.16891587819654
WSM,4.219903480745548
YEM,0.45832800045454974
ZAF,0.3513031062458854
ZMB,3.2124682008890906
ZWE,9.11028288772027
