Country Code,RMSE
AFG,1.00346124526272
AGO,0.4758619277264782
ALB,4.078298882296377
ARE,1.3194123448654909
ARG,0.20379630264467405
ARM,2.5580377647791037
AUS,0.798160817263843
AZE,0.6878100298987406
BDI,0.3189935117354646
BEL,0.004394259169659849
BEN,1.401131962288877
BFA,0.8575552448291238
BGD,1.2620228465860948
BGR,0.1830875243774464
BHR,0.6288372887414027
BHS,0.4974111362196041
BIH,0.3583263261936987
BLR,1.109929107800666
BOL,0.5823586311157662
BRA,0.6757377839791477
BRN,0.6336222289292597
BTN,0.952527471455584
BWA,2.89929800027109
CAF,0.9991543173526077
CAN,0.6109757281218434
CHE,1.254461410310927
CHL,0.841090510181931
CHN,4.673002588515926
CMR,0.596998973038575
COD,0.8081306568086914
COG,0.5142992456883959
COL,0.899107423539173
COM,2.0050086283217095
CPV,0.0471065531828936
CRI,4.2697256143526054
CUB,1.2505047049253761
CYP,3.043334129199974
CZE,1.1753248981304065
DEU,1.0230894150150305
DJI,1.0871212523979614
DMA,0.7369341686947428
DNK,0.43864567780407243
DOM,4.131842570547441
DZA,1.4866043328914094
ECU,1.7275582198009203
EGY,2.7893781706654477
ERI,0.7837341746532364
ESP,0.28633063511744233
EST,1.0952849198071746
ETH,1.0523966794185966
FIN,0.5769602724917038
FJI,0.4868090248622186
FRA,0.5659588756511152
GAB,1.2585134078341318
GBR,0.9435499737527087
GEO,0.3094339398046441
GHA,0.2732840225647234
GIN,1.0096454324864839
GMB,0.03942389901593864
GNB,2.3103233686031794
GNQ,1.6933128902206402
GRC,0.8888809651383309
GRD,2.4599374891419874
GTM,1.3603002883864064
HND,0.5840998148744857
HRV,1.2633723012665636
HTI,1.7358584311674519
HUN,0.2218957141158801
IDN,0.3620991684930145
IND,0.2676513858006774
IRL,0.9467408102170097
IRN,1.0982717822233237
IRQ,0.43461804262147236
ISL,0.6217229316099053
ISR,0.5935119316121935
ITA,0.18056722875385628
JAM,0.5808441159414193
JOR,2.18424009320565
JPN,0.7485200705443973
KAZ,1.7557093620129138
KEN,0.45927826060323684
KHM,0.025743588770492182
KIR,1.5936759465526515
KOR,1.6558253670264897
LAO,0.49308310811279227
LBN,0.8208794400763664
LBR,0.2392939380660514
LBY,0.19095868694430318
LKA,2.386045191972555
LSO,1.3645936068086473
LTU,1.1713699778778643
LUX,0.7403019620412814
LVA,2.1043825010638626
MAR,0.17990105253965497
MDA,3.793763761234572
MDG,1.0564616866583678
MEX,0.3163574467587524
MKD,1.4445876054039428
MLI,1.7095779190616718
MMR,1.9129183257908804
MNE,0.972184609180771
MNG,2.0287472649809977
MOZ,1.3158821736420185
MRT,0.9220401106245315
MUS,3.594459171768815
MWI,1.4346583062129885
MYS,1.9564535625574504
NER,1.859450415790803
NGA,0.9623861185659054
NIC,1.5934301889349454
NLD,1.9840193195405016
NOR,1.4157166112804747
NPL,0.8403742054689256
NZL,1.1147225045902813
OMN,6.049803428225911
PAK,2.213088687998867
PAN,0.2763741663242519
PER,0.7256858055051483
PHL,1.9243049894079103
PNG,1.891073852504323
POL,2.875269380693702
PRT,1.3120144788244394
PRY,0.8678312266736173
PSE,0.7839578929206273
QAT,0.3080476412712076
ROU,2.9959605760219414
RUS,0.9902738357991693
RWA,3.4469052599186765
SAU,0.37560450657743627
SDN,2.6039855901837146
SEN,0.7302968090903117
SLB,0.0830012172505554
SLE,0.37322093778579124
SLV,2.1175694865939843
SOM,1.8895929849259916
SSD,1.0734500245592016
STP,3.454078426745039
SUR,2.1827199690331103
SVK,3.1803942251412667
SVN,0.6324363478769148
SWE,0.7565719386050151
SWZ,2.158775944114428
SYR,4.945998961960541
TCD,1.5392450339278643
TGO,0.7500981975699175
THA,1.073197220705127
TKM,0.49309316068414505
TLS,1.3901000019145315
TTO,3.1213404410073853
TUN,0.4749867802598477
TUR,1.1516280856070749
TZA,0.29773056600446396
UGA,1.0404441628111085
UKR,1.1128595943529362
URY,0.07332082463961609
USA,0.26140566632642653
UZB,2.952600131309959
VCT,0.34813669383227897
VEN,1.3609955679453407
VNM,2.418395622202529
VUT,2.5912136285683443
YEM,0.46319745416839675
ZAF,1.0647693660421462
ZMB,1.2816537045509262
ZWE,3.5125156993147346
